Kind,Name,CountClassCoupled,CountDeclMethodAll,CountDeclInstanceMethod,MaxInheritanceTree,PercentLackOfCohesion,CountClassDerived
Public Abstract Class,gr.uom.java.xmi.UMLAbstractClass,24,48,48,1,85,2
Public Class,gr.uom.java.xmi.UMLAttribute,23,46,46,1,90,1
Public Class,gr.uom.java.xmi.UMLOperation,29,99,98,1,94,0
Public Interface,gr.uom.java.xmi.VariableDeclarationContainer,11,18,16,1,0,2
Public Class,gr.uom.java.xmi.decomposition.LeafMapping,19,43,7,2,0,0
Public Class,gr.uom.java.xmi.decomposition.UMLOperationBodyMapper,88,136,134,1,93,0
Public Class,gr.uom.java.xmi.decomposition.VariableReplacementAnalysis,70,67,62,1,91,0
Public Class,gr.uom.java.xmi.diff.MergeClassRefactoring,18,17,17,1,41,0
Public Class,gr.uom.java.xmi.diff.ReplaceAnonymousWithLambdaRefactoring,17,14,14,1,66,0
Public Class,gr.uom.java.xmi.diff.ReplaceLoopWithPipelineRefactoring,16,14,14,1,58,0
Public Abstract Class,gr.uom.java.xmi.diff.UMLClassBaseDiff,69,120,103,2,95,3
