Kind,Name,CountClassCoupled,CountDeclMethodAll,CountDeclInstanceMethod,MaxInheritanceTree,PercentLackOfCohesion,CountClassDerived
File,"AbstractCall.java",,,50,,,
File,"AbstractCodeFragment.java",,,40,,,
File,"AbstractCodeMapping.java",,,35,,,
File,"AbstractExpression.java",,,30,,,
File,"AbstractStatement.java",,,7,,,
File,"AddAttributeAnnotationRefactoring.java",,,13,,,
File,"AddAttributeModifierRefactoring.java",,,13,,,
File,"AddClassAnnotationRefactoring.java",,,13,,,
File,"AddClassModifierRefactoring.java",,,13,,,
File,"AddMethodAnnotationRefactoring.java",,,13,,,
File,"AddMethodModifierRefactoring.java",,,13,,,
File,"AddParameterRefactoring.java",,,13,,,
File,"AddThrownExceptionTypeRefactoring.java",,,13,,,
File,"AddVariableAnnotationRefactoring.java",,,16,,,
File,"AddVariableModifierRefactoring.java",,,16,,,
File,"AddVariableReplacement.java",,,2,,,
File,"AnonymousClassDeclarationObject.java",,,25,,,
File,"AnonymousClassDeclarationVisitor.java",,,2,,,
File,"AstUtils.java",,,3,,,
File,"CallTree.java",,,3,,,
File,"CallTreeNode.java",,,11,,,
File,"CandidateAttributeRefactoring.java",,,18,,,
File,"CandidateExtractClassRefactoring.java",,,6,,,
File,"CandidateMergeVariableRefactoring.java",,,13,,,
File,"CandidateSplitVariableRefactoring.java",,,13,,,
File,"ChangeAttributeAccessModifierRefactoring.java",,,14,,,
File,"ChangeAttributeTypeRefactoring.java",,,17,,,
File,"ChangeClassAccessModifierRefactoring.java",,,14,,,
File,"ChangeOperationAccessModifierRefactoring.java",,,14,,,
File,"ChangeReturnTypeRefactoring.java",,,15,,,
File,"ChangeThrownExceptionTypeRefactoring.java",,,14,,,
File,"ChangeTypeDeclarationKindRefactoring.java",,,14,,,
File,"ChangeVariableTypeRefactoring.java",,,18,,,
File,"Churn.java",,,4,,,
File,"ClassInstanceCreationWithMethodInvocationReplacement.java",,,3,,,
File,"ClassMoveComparator.java",,,1,,,
File,"ClassRenameComparator.java",,,1,,,
File,"CodeRange.java",,,18,,,
File,"CodeRangeProvider.java",,,2,,,
File,"CollapseHierarchyRefactoring.java",,,12,,,
File,"CompositeReplacement.java",,,4,,,
File,"CompositeStatementObject.java",,,46,,,
File,"CompositeStatementObjectMapping.java",,,2,,,
File,"CompositeType.java",,,8,,,
File,"ConsistentReplacementDetector.java",,,0,,,
File,"ConvertAnonymousClassToTypeRefactoring.java",,,10,,,
File,"EncapsulateAttributeRefactoring.java",,,14,,,
File,"ExternalProcess.java",,,3,,,
File,"ExtractAttributeRefactoring.java",,,17,,,
File,"ExtractClassRefactoring.java",,,13,,,
File,"ExtractOperationDetection.java",,,12,,,
File,"ExtractOperationRefactoring.java",,,24,,,
File,"ExtractSuperclassRefactoring.java",,,11,,,
File,"ExtractVariableRefactoring.java",,,17,,,
File,"GHRepositoryWrapper.java",,,3,,,
File,"GHRepositoryWrapperTest.java",,,2,,,
File,"GitHistoryRefactoringMiner.java",,,10,,,
File,"GitHistoryRefactoringMinerImpl.java",,,35,,,
File,"GitService.java",,,12,,,
File,"GitServiceImpl.java",,,21,,,
File,"InheritanceDetection.java",,,4,,,
